artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
McFly & Carlito,117,2.348417382997267,0.783920981099963,0,0.2222222222222222,8,"0,16,17","0.222,0.197,0.145",0.5995726495696516,generalist
Raggasonic,117,2.5147447123789517,0.8394424076473233,17,0.23076923076923078,8,"17,11,16","0.231,0.120,0.111",0.5226495726469595,generalist
JeanJass,117,2.5988803632014017,0.8675275778626962,0,0.21367521367521367,8,"0,16,17","0.214,0.137,0.111",0.4807692307668271,generalist
Casey (FRA),116,2.510122471181773,0.8378994656301132,16,0.2413793103448276,7,"16,0,19","0.241,0.129,0.095",0.5129310344801941,generalist
Gaël Faye,116,2.5775007817357856,0.8603908982420395,16,0.1810344827586207,6,"16,0,17","0.181,0.172,0.121",0.49568965516993546,generalist
Le Juiice,116,2.3810746777041216,0.7948222538856353,0,0.28448275862068967,6,"0,16,1","0.284,0.155,0.103",0.5758620689626381,generalist
Tandem,116,2.702377577971356,0.9020757969020332,0,0.15517241379310345,9,"0,16,2","0.155,0.103,0.078",0.39655172413594825,generalist
Denzo,116,2.4058656896860438,0.8030976969887372,0,0.31896551724137934,6,"0,16,17","0.319,0.147,0.060",0.5456896551696855,moderate
Moha La Squale,116,2.575200587798453,0.8596230746425684,0,0.28448275862068967,9,"0,2,10","0.284,0.078,0.069",0.44655172413569844,generalist
Axiom,115,2.573015902371993,0.8588938087312763,0,0.17391304347826086,7,"0,16,17","0.174,0.165,0.122",0.4978260869540327,generalist
Kemmler,115,2.4305590934786587,0.8113405576777933,16,0.1826086956521739,6,"16,17,0","0.183,0.183,0.148",0.565652173910215,generalist
X-Men,115,2.6646958236725875,0.8894973183005176,0,0.1565217391304348,7,"0,16,4","0.157,0.130,0.104",0.4439130434760413,generalist
Ideal J,114,2.5710041962972445,0.8582222847461367,11,0.13157894736842105,10,"11,0,8","0.132,0.123,0.114",0.4763157894713027,generalist
Graya,114,2.5456010436013843,0.8497425040527428,0,0.22807017543859648,8,"0,19,1","0.228,0.114,0.088",0.503508771927307,generalist
Worms-T,112,2.6164481140046525,0.8733918371485934,0,0.25,9,"0,16,2","0.250,0.098,0.071",0.45089285714060295,generalist
KDD,112,2.624402881795777,0.8760472038718979,0,0.20535714285714285,8,"0,18,4","0.205,0.134,0.080",0.4598214285691298,generalist
Ademo,110,2.562849552109588,0.8555001976425445,0,0.23636363636363636,7,"0,18,1","0.236,0.091,0.091",0.4827272727248589,generalist
